100000 1000
1 13 15
1 6 21
2 15 32
1 25 32
2 22 25
3 17 28
1 30 46
3 25 28
2 29 35
3 13 18
2 33 45
2 36 41
2 29 49
2 16 27
3 5 26
2 27 41
1 38 39
1 18 37
1 40 46
3 1 29
1 32 45
3 5 45
1 6 44
3 14 47
1 15 34
1 21 33
1 18 39
2 38 48
2 8 9
3 16 30
1 36 43
2 15 37
1 29 45
2 5 12
2 24 43
3 26 33
2 27 33
2 13 24
2 14 17
3 34 35
1 28 37
3 15 33
3 17 17
2 14 49
3 40 47
2 31 48
2 27 37
3 23 39
2 6 29
3 3 47
3 12 49
1 19 39
2 20 43
3 34 36
1 29 36
2 35 37
2 6 33
2 11 14
2 17 18
1 29 34
3 30 31
2 5 17
2 10 44
1 3 49
1 27 46
1 34 34
2 10 15
1 25 39
1 15 35
3 7 23
1 39 48
3 26 37
2 28 45
1 16 23
1 6 12
2 24 42
3 40 41
2 16 44
3 21 23
3 1 11
2 32 42
1 30 42
1 12 32
2 32 37
1 24 39
2 27 48
2 11 42
3 3 39
1 20 21
2 35 46
2 37 44
3 9 23
1 10 35
3 18 25
3 34 50
1 7 17
1 17 17
2 27 41
2 27 30
3 37 38
3 28 36
2 27 45
3 25 30
3 29 47
1 8 23
3 19 22
2 31 32
3 21 25
3 12 15
3 28 41
2 11 35
2 3 8
3 26 41
1 29 38
1 11 15
2 32 35
2 20 43
3 13 16
3 22 36
3 25 26
3 25 40
2 16 33
1 18 38
1 23 41
2 25 32
2 13 16
1 15 42
2 32 36
1 20 40
2 21 42
3 3 36
2 17 40
1 19 36
3 38 42
1 6 47
3 2 23
2 25 42
1 11 24
2 34 39
3 11 14
2 11 27
2 9 16
3 29 35
1 28 32
1 28 34
2 31 31
1 13 36
2 30 34
2 38 48
2 31 49
3 33 39
2 17 36
3 32 47
1 38 46
3 3 34
3 25 28
3 7 22
2 10 40
1 2 11
1 26 45
1 13 47
2 31 39
1 8 26
3 37 41
3 40 47
1 23 50
1 22 30
1 37 43
3 37 48
3 37 44
1 33 33
2 38 47
2 18 50
3 30 34
3 40 48
2 40 41
3 13 49
2 8 21
3 15 38
1 7 9
3 9 12
2 27 48
2 39 48
1 13 49
2 18 35
1 15 18
1 2 28
3 37 38
3 5 49
2 10 10
3 21 29
2 26 34
1 10 18
1 11 27
2 37 37
1 30 36
1 9 48
3 21 40
1 25 27
2 12 50
1 40 50
2 34 48
1 19 37
3 27 27
1 26 49
1 18 40
1 3 30
3 7 24
3 12 43
1 27 44
1 18 21
2 8 29
3 7 22
1 5 49
1 7 15
3 4 39
3 40 49
3 12 19
1 3 45
2 27 50
1 8 46
3 10 41
1 14 49
3 38 38
3 1 42
2 5 39
1 8 46
1 25 43
2 23 30
1 1 39
2 26 34
2 14 38
3 6 33
3 25 28
2 20 30
2 17 27
2 1 4
3 14 49
1 13 31
1 6 30
2 21 34
2 36 46
3 30 35
2 10 28
2 22 43
1 4 14
1 23 30
2 34 36
1 37 42
1 9 35
1 24 34
1 29 33
1 25 32
3 22 33
1 23 50
1 4 23
1 12 35
1 28 36
1 39 48
2 12 41
1 17 36
3 22 22
2 10 17
3 36 42
3 29 39
1 29 46
1 32 43
1 37 49
2 36 50
3 14 41
1 17 35
2 37 48
2 27 29
2 14 28
1 23 36
1 24 34
3 19 20
3 40 50
2 24 35
1 34 42
3 7 17
1 20 25
2 12 37
3 5 27
3 21 25
3 29 49
3 25 43
1 18 38
1 33 36
3 30 37
1 24 33
3 18 27
3 21 42
3 36 40
3 11 41
2 34 42
3 13 46
3 22 24
3 1 17
2 15 39
3 22 30
3 31 38
3 16 44
1 30 45
2 36 48
2 2 14
1 35 45
3 11 42
1 24 37
1 21 25
3 1 2
3 4 34
1 10 28
1 27 43
2 1 40
2 2 28
3 5 14
2 18 18
2 10 22
2 21 37
3 28 41
2 39 46
3 34 40
3 30 47
3 6 18
2 14 23
1 13 20
1 8 25
1 31 48
3 37 45
3 18 37
2 15 37
3 38 46
3 28 40
3 21 25
1 31 43
1 20 41
1 30 38
1 12 50
2 7 36
3 22 40
2 40 48
2 28 28
2 11 36
2 39 45
2 39 44
3 7 28
2 39 42
2 15 30
1 15 21
2 34 38
1 27 40
2 7 15
3 22 30
3 27 29
3 16 34
2 27 34
2 3 46
1 20 35
3 20 46
1 14 41
3 32 45
2 32 33
1 4 14
1 7 25
1 24 25
3 33 37
1 22 30
3 13 36
2 12 44
1 38 39
2 38 45
2 37 42
1 21 49
2 22 37
2 7 16
1 21 32
2 5 48
1 18 39
1 32 47
1 23 24
1 23 44
2 20 20
1 27 43
2 24 27
3 17 19
3 13 20
3 39 41
3 37 40
3 10 22
1 25 48
2 7 13
2 21 43
1 40 47
2 17 30
1 33 43
1 2 17
1 2 37
3 14 14
1 29 29
2 25 45
3 7 43
1 24 32
3 38 47
3 17 32
2 33 49
3 2 23
3 14 46
2 10 20
2 36 41
3 26 35
2 30 31
1 6 30
3 19 29
3 4 40
3 4 43
3 6 50
1 18 38
3 1 34
2 21 42
2 10 29
3 25 50
2 26 33
2 24 30
3 2 41
3 38 42
3 11 29
1 26 33
1 15 32
1 24 30
1 22 40
3 14 49
1 33 50
2 34 46
3 36 41
3 35 37
3 39 39
2 19 50
3 1 47
3 15 44
1 10 33
1 27 42
2 20 22
3 19 44
1 21 32
1 36 45
2 19 43
1 38 44
1 12 20
2 27 32
1 30 35
2 23 23
3 33 39
3 21 39
3 11 48
1 21 37
3 17 34
2 31 39
3 21 49
3 40 48
1 21 38
2 12 34
2 3 23
3 24 29
1 22 36
2 16 22
2 31 48
2 7 47
2 28 46
2 21 21
3 2 12
1 4 37
3 17 41
3 18 19
2 33 42
3 6 45
2 35 46
2 24 30
2 2 12
2 27 41
2 2 29
3 15 16
1 27 43
2 23 42
1 31 37
1 40 49
1 16 38
2 28 36
1 31 43
2 3 42
2 4 33
1 37 49
3 7 40
2 35 50
3 20 22
2 33 42
1 17 20
3 29 37
3 28 33
3 35 41
2 16 26
3 34 49
2 16 36
3 19 49
1 24 48
1 37 43
2 16 49
1 5 8
1 4 34
3 18 22
3 26 40
3 10 25
3 34 44
1 9 23
3 16 43
1 22 46
3 27 33
3 36 49
1 38 42
2 23 27
1 11 30
2 38 45
3 37 48
2 26 27
3 29 29
2 32 49
3 20 41
2 19 19
3 14 34
1 16 18
2 38 39
1 22 22
2 2 7
3 26 30
1 16 18
2 16 47
3 18 28
1 10 50
1 40 49
2 36 39
1 31 32
3 3 43
1 3 39
2 13 18
1 16 38
2 1 14
1 23 30
2 36 40
1 14 23
3 33 47
3 16 30
3 22 31
2 17 48
2 31 50
1 38 41
1 37 37
3 11 32
3 37 42
2 4 43
3 23 48
1 12 44
1 2 48
3 15 38
1 16 18
2 32 49
1 23 40
1 23 48
3 30 32
2 27 34
1 19 33
3 12 29
1 26 43
2 9 17
3 30 47
3 14 14
2 9 42
1 9 17
3 8 34
1 35 49
3 18 32
2 6 11
3 2 49
2 19 34
1 13 41
2 23 27
1 13 31
2 33 33
3 15 38
3 14 35
2 15 28
2 14 48
3 3 6
2 14 44
2 9 9
1 10 35
